CLIENT_id,surv_time,status,extra_attempts,main_extra_attempt,stuck,mean_time
0,0.2,0,0,NA,contract-subscription,0.0285714285714286
1,41.05,0,0,NA,contract-subscription,5.86428571428571
2,1,1,0,NA,conclude,0.125
3,0.03333333333333333,0,0,NA,anagrafica-b,0.0111111111111111
4,0,0,0,NA,antiriciclaggio,0
5,0,0,0,NA,antiriciclaggio,0
6,0.3,0,1,anagrafica-a,antiriciclaggio,0.0428571428571429
7,0.18333333333333332,0,0,NA,contract-subscription,0.0366666666666667
8,0.03333333333333333,0,0,NA,anagrafica-b,0.0111111111111111
9,0,1,0,NA,conclude,0
10,0,1,0,NA,conclude,0
11,4481.8,0,1,contract-activation,contract-activation,1493.93333333333
11,4481.8,0,1,contract-activation,contract-activation,1493.93333333333
12,0,0,0,NA,antiriciclaggio,0
13,0,0,0,NA,antiriciclaggio,0
14,0,0,0,NA,antiriciclaggio,0
15,0.08333333333333333,1,0,NA,conclude,0.0208333333333333
15,0.08333333333333333,1,0,NA,contract-subscription,0.0208333333333333
16,0.11666666666666667,0,0,NA,contract-subscription,0.0166666666666667
17,0,0,0,NA,antiriciclaggio,0
18,0,0,0,NA,codice-fiscale,0
19,0,0,0,NA,antiriciclaggio,0
20,0,0,0,NA,antiriciclaggio,0
21,0.16666666666666666,0,1,codice-fiscale,contract-subscription,0.0208333333333333
22,0,0,0,NA,antiriciclaggio,0
23,0,0,0,NA,antiriciclaggio,0
24,0,0,0,NA,antiriciclaggio,0
25,0,0,0,NA,antiriciclaggio,0
26,0,0,0,NA,antiriciclaggio,0
27,45.71666666666667,0,0,NA,contract-subscription,6.53095238095238
28,0,0,0,NA,antiriciclaggio,0
29,0.08333333333333333,0,0,NA,anagrafica-d,0.0138888888888889
29,0.08333333333333333,0,0,NA,antiriciclaggio,0.0138888888888889
30,0,0,0,NA,antiriciclaggio,0
31,0,0,0,NA,anagrafica-a,0
31,0,0,0,NA,anagrafica-b,0
31,0,0,0,NA,codice-fiscale,0
32,0,0,0,NA,antiriciclaggio,0
33,416.95,1,0,NA,conclude,59.5642857142857
34,0.5,0,5,anagrafica-a,contract-subscription,0.0416666666666667
35,0,0,0,NA,codice-fiscale,0
35,0,0,0,NA,contract-activation,0
36,0,0,0,NA,codice-fiscale,0
37,0.016666666666666666,0,0,NA,antiriciclaggio,0.00555555555555556
38,0,0,0,NA,antiriciclaggio,0
39,155.5,0,0,NA,anagrafica-c,77.75
40,0,0,0,NA,antiriciclaggio,0
41,0.15,0,0,NA,contract-subscription,0.0375
42,0,0,0,NA,antiriciclaggio,0
43,0.55,0,0,NA,contract-subscription,0.0785714285714286
44,0,0,0,NA,antiriciclaggio,0
45,0,0,0,NA,antiriciclaggio,0
46,0,1,0,NA,conclude,0
47,0.06666666666666667,0,0,NA,contract-subscription,0.0166666666666667
48,0.016666666666666666,0,0,NA,anagrafica-a,0.00833333333333333
49,1262.9,1,0,NA,antiriciclaggio,252.58
50,3.6666666666666665,1,0,NA,conclude,0.523809523809524
51,2.55,0,0,NA,contract-subscription,0.364285714285714
52,0,0,0,NA,anagrafica-c,0
53,72.4,1,5,anagrafica-a,conclude,5.56923076923077
53,72.4,1,5,anagrafica-a,contract-subscription,5.56923076923077
54,1.3,0,0,NA,anagrafica-d,0.216666666666667
54,1.3,0,0,NA,antiriciclaggio,0.216666666666667
55,0.2,0,0,NA,contract-subscription,0.0285714285714286
56,0.016666666666666666,0,0,NA,anagrafica-b,0.00555555555555556
57,0.016666666666666666,0,0,NA,anagrafica-a,0.00833333333333333
58,0,0,0,NA,antiriciclaggio,0
59,0,0,0,NA,antiriciclaggio,0
60,0.08333333333333333,1,0,NA,conclude,0.0166666666666667
61,0.06666666666666667,0,0,NA,anagrafica-b,0.0222222222222222
62,0.21666666666666667,1,0,NA,conclude,0.0270833333333333
62,0.21666666666666667,1,0,NA,contract-subscription,0.0270833333333333
63,0,0,0,NA,antiriciclaggio,0
64,0.03333333333333333,0,0,NA,anagrafica-b,0.0111111111111111
65,0,0,0,NA,antiriciclaggio,0
66,0.06666666666666667,0,0,NA,anagrafica-d,0.0133333333333333
66,0.06666666666666667,0,0,NA,antiriciclaggio,0.0133333333333333
67,0,0,0,NA,antiriciclaggio,0
68,0,1,0,NA,conclude,0
69,0.03333333333333333,0,0,NA,anagrafica-b,0.0111111111111111
70,0,0,0,NA,antiriciclaggio,0
71,0.21666666666666667,0,0,NA,contract-subscription,0.030952380952381
72,6.05,0,0,NA,antiriciclaggio,3.025
73,8.816666666666666,0,3,anagrafica-a,antiriciclaggio,0.97962962962963
74,0,0,0,NA,contract-subscription,0
75,0,0,0,NA,antiriciclaggio,0
76,0.18333333333333332,0,0,NA,contract-subscription,0.0261904761904762
77,0,0,0,NA,anagrafica-a,0
77,0,0,0,NA,anagrafica-b,0
77,0,0,0,NA,codice-fiscale,0
78,0.15,0,0,NA,contract-subscription,0.0214285714285714
79,0.18333333333333332,0,0,NA,contract-subscription,0.0305555555555556
80,0,0,0,NA,antiriciclaggio,0
81,0,0,0,NA,contract-subscription,0
82,0.6166666666666667,0,1,anagrafica-b,contract-subscription,0.0770833333333333
83,1419.2166666666667,0,1,codice-fiscale,codice-fiscale,709.608333333333
84,0,0,0,NA,antiriciclaggio,0
85,0,0,0,NA,anagrafica-a,0
85,0,0,0,NA,anagrafica-b,0
85,0,0,0,NA,codice-fiscale,0
86,0.21666666666666667,1,2,codice-fiscale,conclude,0.0216666666666667
86,0.21666666666666667,1,2,codice-fiscale,contract-subscription,0.0216666666666667
87,0.016666666666666666,0,0,NA,anagrafica-a,0.00555555555555556
87,0.016666666666666666,0,0,NA,anagrafica-b,0.00555555555555556
88,0,0,0,NA,antiriciclaggio,0
89,0,0,0,NA,antiriciclaggio,0
90,0,0,0,NA,antiriciclaggio,0
91,0,0,0,NA,antiriciclaggio,0
92,0,0,0,NA,antiriciclaggio,0
93,0,0,0,NA,anagrafica-a,0
93,0,0,0,NA,codice-fiscale,0
94,0,0,0,NA,contract-activation,0
95,0,0,0,NA,antiriciclaggio,0
96,2132.2166666666667,1,0,NA,conclude,426.443333333333
96,2132.2166666666667,1,0,NA,contract-subscription,426.443333333333
97,0.1,0,0,NA,antiriciclaggio,0.0166666666666667
98,0.08333333333333333,0,1,anagrafica-c,anagrafica-c,0.0277777777777778
98,0.08333333333333333,0,1,anagrafica-c,anagrafica-c,0.0277777777777778
99,0.1,0,0,NA,antiriciclaggio,0.0166666666666667
100,0.4,0,0,NA,contract-subscription,0.0571428571428571
101,0,0,0,NA,antiriciclaggio,0
102,0.11666666666666667,0,0,NA,antiriciclaggio,0.0194444444444444
103,0.21666666666666667,0,0,NA,anagrafica-d,0.0361111111111111
103,0.21666666666666667,0,0,NA,antiriciclaggio,0.0361111111111111
104,0.15,0,0,NA,antiriciclaggio,0.025
105,0,0,0,NA,contract-activation,0
106,9.716666666666667,0,0,NA,antiriciclaggio,1.61944444444444
107,0,0,0,NA,antiriciclaggio,0
108,0.15,1,0,NA,conclude,0.01875
108,0.15,1,0,NA,contract-subscription,0.01875
109,0,0,0,NA,codice-fiscale,0
110,0.16666666666666666,0,1,anagrafica-a,antiriciclaggio,0.0238095238095238
111,0.1,0,1,contract-activation,contract-activation,0.05
112,0,0,0,NA,antiriciclaggio,0
113,16.8,1,1,anagrafica-b,conclude,1.86666666666667
